feature,rf_importance,rf_rank,mi_importance,mi_rank,f_score,f_p_value,f_rank
non_working_hours,0.32816303805840047,1.0,0.5144002510747308,4.0,692.0384449853218,7.154937462973896e-70,1.0
videos_count,0.30176818599575145,2.0,0.5166862566652652,3.0,692.0384449853212,7.15493746297444e-70,2.0
title_croatian_pct,0.16141760979872177,3.0,1.1853447000076054,1.0,213.38656329934975,3.1066431886504826e-34,3.0
state,0.022782234978103486,4.0,0.39122603287486735,5.0,67.87151247593262,1.557768679851944e-14,9.0
changed_files,0.013449055758874215,5.0,0.06654800591903043,27.0,90.91140928775238,2.94505893993986e-18,7.5
author_id,0.013215025022925465,6.0,0.1736205027999631,16.0,4.694314230166405,0.03133698595263026,26.0
non_working_days,0.013179130592211874,7.0,0.18387187111102898,13.0,61.39443862313624,1.9763655820967318e-13,11.0
title_english_pct,0.013093824084185404,8.0,0.7379718097372798,2.0,63.32177367575407,9.220344489047497e-14,10.0
description_croatian_words,0.00996963488223619,9.0,0.1416218499878008,19.0,98.07943138710428,2.3388963055403984e-19,6.0
review_comments,0.009061839744529955,10.0,0.15860981756246284,18.0,2.735425255502668,0.0995714642552893,30.0
is_update,0.008546856671367654,11.0,0.17149088522347533,17.0,6.677718015728964,0.010409252782075334,24.0
is_backend,0.008274736640690583,12.0,0.1738041671545476,15.0,4.090172546947422,0.04434361160061888,28.0
title_word_count,0.008222113745111554,13.0,0.21618052384030095,12.0,41.948944909282375,6.038466346679007e-10,12.0
reviewer_count,0.007647366018329228,14.0,0.03906031431006962,29.0,24.264062524203954,1.6496804882113563e-06,15.0
commits,0.007589673863392787,15.0,0.07884667275783341,26.0,90.91140928775238,2.94505893993986e-18,7.5
deletions,0.007404799330656797,16.0,0.13970240426067315,20.0,6.0941159068986375,0.014325169513672716,25.0
description_english_words,0.007207708141476165,17.0,0.24507075637291242,9.0,100.68704281418901,9.443947251334327e-20,5.0
time_to_first_review_hours,0.006853536448200222,18.0,0.22493854789739665,10.0,14.784886822797912,0.00015778355595292095,20.0
description_croatian_pct,0.005924668426751237,19.0,0.27450833086478577,6.0,130.5523477190735,4.8435133178670234e-24,4.0
total_lines_changed,0.005139219526655818,20.0,0.2621227995659514,8.0,28.742434123069994,2.0844242931959554e-07,13.5
review_count,0.00503035679478081,21.0,0.17588727816174554,14.0,3.773722167401905,0.05333984714069925,29.0
comments,0.004760696528490919,22.0,0.27332385256727365,7.0,28.742434123069994,2.0844242931959554e-07,13.5
review_dismissed_count,0.004387986893552005,23.0,0.11586719235580878,22.0,15.207117911031016,0.0001279754609089444,19.0
review_approved_count,0.003946350059468552,24.0,0.09918166322891198,23.0,18.093489654014892,3.111147125078577e-05,16.0
additions,0.003838994105075459,25.0,0.12333047187933355,21.0,15.268365064320514,0.00012415388761728677,18.0
is_refactor,0.00297488275889714,26.0,0.0,41.5,1.1080299433167347,0.29366536332472915,32.0
is_merged,0.002567622201621735,27.0,0.013466854692004704,34.0,0.19951483425575164,0.6555521163960617,38.0
review_changes_requested_count,0.002486498163437321,28.0,0.039182571508623365,28.0,0.1760448823781527,0.6752039019499525,40.0
title_croatian_words,0.0016981170731705311,29.0,0.22043214157116742,11.0,15.773647218021106,9.673181086592708e-05,17.0
review_commented_count,0.0016614114481948597,30.0,0.030281602147509856,30.0,4.176634825633594,0.042176541273656706,27.0
time_to_first_approval_hours,0.0015723608120453635,31.0,0.013439498578974751,35.0,0.05035319774224413,0.8226580835363126,41.0
description_length,0.001415820668066659,32.0,0.0,41.5,0.4975133253602858,0.48134092646248583,34.0
is_new_feature,0.0012160121093766035,33.0,0.0,41.5,0.18468513992445973,0.6677980559840685,39.0
images_count,0.0008955112926969804,34.0,0.0,41.5,11.618314255539246,0.0007766052656634848,21.0
body_length,0.0006338640088911974,35.0,0.0,41.5,0.40069120414493753,0.5273899308873022,36.0
timeline_event_count,0.0005112856699423226,36.0,0.08609271471004964,24.0,1.048239898607817,0.3070372636654995,33.0
is_bug_fix,0.00041440280480873324,37.0,0.01639026784077413,32.0,0.04297659782833594,0.8359611045469766,42.0
commit_count_timeline,0.0003942127341870291,38.0,0.08362470002849398,25.0,8.644045425301213,0.003631688554578329,22.0
review_requested_count,0.000296158495523381,39.0,0.0,41.5,2.5061409015452214,0.11483980337289805,31.0
is_draft,0.0002796591284236635,40.0,0.0,41.5,0.4780506342500143,0.49003558979311934,35.0
description_word_count,0.00010748775447563726,41.0,0.02086257849687767,31.0,7.613910341851769,0.006279915464431209,23.0
description_english_pct,5.076630092624553e-08,42.0,0.0,41.5,0.20970151352957492,0.6474534201351072,37.0
title_english_words,0.0,44.5,0.0,41.5,0.0,1.0,44.5
title_length,0.0,44.5,0.009274215882372983,36.0,0.0,1.0,44.5
comment_count_timeline,0.0,44.5,0.0,41.5,0.0,1.0,44.5
is_frontend,0.0,44.5,0.016261629656133425,33.0,0.0,1.0,44.5
