column,mean,median,std,min,max,skewness,kurtosis,missing_count,missing_pct,zero_count,unique_count
effective_minutes,2409.0596846846847,1440.0083333333332,3842.589144735469,-5.334274688628681e-15,38098.54999999999,5.019870290441887,36.29664709984685,0,0.0,6,213
time_to_first_approval_minutes,2356.201438240271,1337.8,3813.5468213992654,0.7833333333333301,29650.033333333333,4.147575532270651,22.509273433410236,25,11.26126126126126,0,197
time_to_first_review_minutes,1279.3881909547738,1110.05,1957.8692472194066,0.349999999999998,21439.416666666668,6.1188253897221605,56.06115031286065,23,10.36036036036036,0,199
non_working_minutes,1028.8330330330327,0.0,2004.4803393371685,0.0,18780.0,4.347797097405708,29.627402705689896,0,0.0,131,48
total_lines_changed,299.52702702702703,60.0,1349.6273481610558,1.0,19439.0,13.005177404332116,180.9413724380297,0,0.0,0,146
description_length,284.14414414414415,191.0,303.3534696434826,0.0,2334.0,2.8437359655691887,11.895376892537094,0,0.0,4,180
additions,200.77027027027026,46.0,908.8691379298642,0.0,13121.0,13.086536949272924,182.70128076457215,0,0.0,4,128
deletions,98.75675675675676,14.0,459.91568608012915,0.0,6318.0,11.584115355393052,150.10026995067918,0,0.0,21,100
description_croatian_pct,48.0609575262278,25.462962962962962,36.537139612228266,0.0,100.0,0.24404357725819925,-1.768053593420011,0,0.0,11,142
description_word_count,43.409909909909906,29.0,48.06310417354748,0.0,383.0,3.0082945961648866,13.595172449924458,0,0.0,4,87
title_length,34.08108108108108,33.0,9.511731394446175,14.0,74.0,0.7402027703239109,1.1145661984366777,0,0.0,0,43
description_croatian_words,23.87837837837838,10.0,34.45383272168204,0.0,225.0,2.6422334527009492,8.443153091822047,0,0.0,11,69
changed_files,8.873873873873874,4.0,21.657188044041416,1.0,297.0,10.892697855854372,139.85286869520482,0,0.0,0,34
commits,7.018018018018018,3.0,17.411694193745376,1.0,232.0,10.16095670097345,124.66971882618225,0,0.0,0,28
review_requested_count,3.2477477477477477,2.0,2.0682625163487747,0.0,10.0,0.6719974541371528,-0.1576374193063912,0,0.0,14,10
reviewer_count,3.220720720720721,2.5,1.9358310908103256,0.0,7.0,0.4852557349456479,-0.9430701022631438,0,0.0,11,8
review_comments,2.824324324324324,0.0,5.973602810437911,0.0,53.0,4.4700690475635465,27.277468086001175,0,0.0,116,22
review_count,2.6576576576576576,1.0,3.317294584052573,0.0,27.0,3.3126177819536804,15.862452796726746,0,0.0,23,15
review_commented_count,1.5045045045045045,0.0,2.9973559203995572,0.0,25.0,3.8974619111460864,21.26437629446767,0,0.0,128,14
review_approved_count,1.1126126126126126,1.0,0.69316209241132,0.0,4.0,1.3999676226517612,3.5087555987003576,0,0.0,25,5
title_croatian_words,0.545045045045045,0.0,1.245897429647233,0.0,10.0,3.4849421384509123,16.93181810704793,0,0.0,167,8
comments,0.46396396396396394,0.0,1.2570375857181828,0.0,9.0,3.979070364249134,18.43265141766484,0,0.0,176,9
images_count,0.28378378378378377,0.0,0.6830912622014905,0.0,4.0,2.733728462089986,7.681028598612372,0,0.0,181,5
review_changes_requested_count,0.036036036036036036,0.0,0.1868010255055289,0.0,1.0,4.978692918585165,22.78738317757009,0,0.0,214,2
review_dismissed_count,0.0045045045045045045,0.0,0.06711560552140243,0.0,1.0,14.798801467918882,217.00452488687802,0,0.0,221,2
