,reviewer_count,additions,deletions,changed_files,commits,total_lines_changed,comments,review_comments,review_count,review_approved_count,review_commented_count,review_changes_requested_count,review_dismissed_count,review_requested_count,title_length,description_length,images_count,description_word_count,description_croatian_words,description_croatian_pct,title_croatian_words,time_to_first_review_minutes,time_to_first_approval_minutes,non_working_minutes,effective_minutes
reviewer_count,1.0,-0.061362730293731176,-0.05920944517652272,0.011459921855446883,0.08633547914469818,-0.061499972193780325,0.1566906831651046,0.3050564909254495,0.45361789777666955,0.5850053486629613,0.34568408104466963,0.3407816316321929,-0.0076870526999923165,0.9220414336945265,-0.11180630289304873,0.25867518077766893,-0.027051146845573002,0.2279373381898986,0.17496341226330328,0.21953433379352963,-0.08950390204497569,-0.006032845800369694,0.16766410956367653,0.28211539131403773,0.2586535425203298
additions,-0.061362730293731176,1.0,0.9377063155452773,0.939322521860454,0.9097003198721398,0.9929666757357511,0.0870243493148854,0.1012461529552324,0.044020726283422365,-0.07100019145105634,0.0629229853241267,0.0373615505593001,-0.005027152671008855,-0.04068148422578558,-0.1444626780805861,0.11368907301397099,0.007051255983482691,0.10163808579274886,0.04718727489239336,-0.06169816335823608,-0.04248614507748038,0.23641944869041934,0.4607725403533823,0.24475306588301002,0.14454066122428488
deletions,-0.05920944517652272,0.9377063155452773,1.0,0.9287341978244883,0.8476611584072555,0.9722446855489839,0.13582577343352686,0.053091837265761076,0.04859359340276703,-0.09570676519476992,0.07565021619153443,0.007160057485955083,-0.008173413962638898,-0.05287112183992715,-0.11973042235532728,0.1040798039625684,-0.02344329472867543,0.09334933537756249,0.029331910185769673,-0.07773562078742002,-0.03858000133782287,0.094570995597368,0.2184599120123329,0.20111047720061265,0.11081990625115068
changed_files,0.011459921855446883,0.939322521860454,0.9287341978244883,1.0,0.8878040819940339,0.9490476598634362,0.1286451154845336,0.13763313474924024,0.08631246846344912,-0.04365961487073175,0.10212741877308093,0.05705231731782029,-0.002720388320409757,0.02302579880379911,-0.1736333350080451,0.17737249182983925,-0.019285901465232392,0.16286400646805096,0.06360414477496448,-0.10963392245045522,-0.06401615761253772,0.1461642020376209,0.3350574703183157,0.24303637724886312,0.1641763987261896
commits,0.08633547914469818,0.9097003198721398,0.8476611584072555,0.8878040819940339,1.0,0.9014719584534353,0.18754035485967677,0.3698155602862706,0.2977986513832454,0.05719299253778442,0.3048421528268456,0.17508980805469906,0.027034721893236125,0.1404773601387431,-0.1649224142431493,0.261023364841276,0.026199057311751955,0.2470253026027433,0.1639979288752043,-0.004463462572718561,-0.04988955087272397,0.44697888330122837,0.6806649252721773,0.4311885499211252,0.33992791649491305
total_lines_changed,-0.061499972193780325,0.9929666757357511,0.9722446855489839,0.9490476598634362,0.9014719584534353,1.0,0.10488980481142336,0.08627364633291316,0.04620389137946818,-0.08042733093838146,0.06815324291900449,0.027600050525306334,-0.006170670160124677,-0.045412834777203495,-0.13808520499105686,0.11202827538638505,-0.003240353745087916,0.10025622496829108,0.041772466693606486,-0.06803906873677928,-0.04175811486895312,0.1942663697371929,0.39549161029936064,0.23335506021238503,0.1351012630456888
comments,0.1566906831651046,0.0870243493148854,0.13582577343352686,0.1286451154845336,0.18754035485967677,0.10488980481142336,1.0,0.3549834926241714,0.43866961135362154,0.2305772424462763,0.42037211885450576,0.19825462699248791,-0.024884000443328353,0.28278671943919204,-0.06144064881909389,0.2338958567169693,0.06202505644039939,0.23035774226624753,0.2785915322753912,0.12331021144809237,-0.023517023393518997,0.2848519491414753,0.5078115171121786,0.4887973168584856,0.5407429492926569
review_comments,0.3050564909254495,0.1012461529552324,0.053091837265761076,0.13763313474924024,0.3698155602862706,0.08627364633291316,0.3549834926241714,1.0,0.8514101154183785,0.25614103737153976,0.8679981546775483,0.23683461095468544,0.0132689147480234,0.43094069782276767,-0.12103446604382577,0.5322593299078622,0.13757861124787205,0.5112896557188235,0.4646005521173689,0.17024166306470606,0.010491758160098601,0.5300699726180641,0.7058251732892846,0.5175945279194073,0.5603328530467732
review_count,0.45361789777666955,0.044020726283422365,0.04859359340276703,0.08631246846344912,0.2977986513832454,0.04620389137946818,0.43866961135362154,0.8514101154183785,1.0,0.4910902944200897,0.9758419676630953,0.26826787750309405,0.027281199627553692,0.5749753830249941,-0.14696680761345077,0.4921283715315723,0.031086062506651295,0.47145234099727973,0.3973953793481605,0.1480875562638187,-0.03238092872755615,0.440569220841097,0.5808234287581021,0.5584121049000472,0.610261402878232
review_approved_count,0.5850053486629613,-0.07100019145105634,-0.09570676519476992,-0.04365961487073175,0.05719299253778442,-0.08042733093838146,0.2305772424462763,0.25614103737153976,0.4910902944200897,1.0,0.29703581422463377,0.24808294277241927,-0.010953084640881875,0.5959142312981366,-0.1386509397986124,0.16770681921711433,-0.08691155828687022,0.1607762608627817,0.16257104196393266,0.18274422721297748,-0.029478141305803014,0.058302800297084456,0.15999330337611706,0.4310957920042234,0.4670966594499734
review_commented_count,0.34568408104466963,0.0629229853241267,0.07565021619153443,0.10212741877308093,0.3048421528268456,0.06815324291900449,0.42037211885450576,0.8679981546775483,0.9758419676630953,0.29703581422463377,1.0,0.17750102958226513,0.011145142047357367,0.47680924188778206,-0.1249192321328687,0.49328581950731143,0.057937625233915005,0.4727748904393414,0.39340650716732395,0.11785310224489498,-0.025499812078160006,0.46003575095722027,0.5819967971346246,0.5029286194269459,0.5552916928782503
review_changes_requested_count,0.3407816316321929,0.0373615505593001,0.007160057485955083,0.05705231731782029,0.17508980805469906,0.027600050525306334,0.19825462699248791,0.23683461095468544,0.26826787750309405,0.24808294277241927,0.17750102958226513,1.0,-0.013005946702890646,0.3398525673397382,-0.08823790611690593,0.2079992157352865,-0.04504492560766432,0.1969169484859108,0.15324756304022416,0.07651828862591825,-0.08477514928293953,0.029474695955951275,0.19863697677328648,0.2311673842293783,0.18289611449070886
review_dismissed_count,-0.0076870526999923165,-0.005027152671008855,-0.008173413962638898,-0.002720388320409757,0.027034721893236125,-0.006170670160124677,-0.024884000443328353,0.0132689147480234,0.027281199627553692,-0.010953084640881875,0.011145142047357367,-0.013005946702890646,1.0,0.024521218604292953,-0.007662719060345058,-0.016700535207295936,-0.028008706874363486,-0.020213134355147547,-0.033027628532036224,-0.04414340100062388,0.07873203403810448,0.12053987257160197,0.07741297164301927,0.04410018505766574,0.03085905044522066
review_requested_count,0.9220414336945265,-0.04068148422578558,-0.05287112183992715,0.02302579880379911,0.1404773601387431,-0.045412834777203495,0.28278671943919204,0.43094069782276767,0.5749753830249941,0.5959142312981366,0.47680924188778206,0.3398525673397382,0.024521218604292953,1.0,-0.10153910118175868,0.28741141019760336,-0.03397514133596364,0.26029687435757304,0.21200227196981375,0.1954444648198848,-0.08600351251241226,0.18515910891260656,0.3305406689318944,0.42171830445159975,0.4001770646147229
title_length,-0.11180630289304873,-0.1444626780805861,-0.11973042235532728,-0.1736333350080451,-0.1649224142431493,-0.13808520499105686,-0.06144064881909389,-0.12103446604382577,-0.14696680761345077,-0.1386509397986124,-0.1249192321328687,-0.08823790611690593,-0.007662719060345058,-0.10153910118175868,1.0,-0.10415395987082358,0.02429930973539465,-0.10612738447997491,-0.02628659878786966,0.14442142533001215,0.45291824987586127,-0.06887724165499237,-0.17088602054225716,-0.15837599164048627,-0.17163648898743125
description_length,0.25867518077766893,0.11368907301397099,0.1040798039625684,0.17737249182983925,0.261023364841276,0.11202827538638505,0.2338958567169693,0.5322593299078622,0.4921283715315723,0.16770681921711433,0.49328581950731143,0.2079992157352865,-0.016700535207295936,0.28741141019760336,-0.10415395987082358,1.0,0.20218098619253436,0.993597147725627,0.7832152334959334,0.19645567955267987,0.005573792344370686,0.2600551784941622,0.3555741739312238,0.20586634529147382,0.2542718170066635
images_count,-0.027051146845573002,0.007051255983482691,-0.02344329472867543,-0.019285901465232392,0.026199057311751955,-0.003240353745087916,0.06202505644039939,0.13757861124787205,0.031086062506651295,-0.08691155828687022,0.057937625233915005,-0.04504492560766432,-0.028008706874363486,-0.03397514133596364,0.02429930973539465,0.20218098619253436,1.0,0.1893910433692581,0.3596555920827271,0.3069924700435795,0.10453891300141162,0.019981229650563287,0.06043474887284614,-0.02039978822756024,0.0151269890700474
description_word_count,0.2279373381898986,0.10163808579274886,0.09334933537756249,0.16286400646805096,0.2470253026027433,0.10025622496829108,0.23035774226624753,0.5112896557188235,0.47145234099727973,0.1607762608627817,0.4727748904393414,0.1969169484859108,-0.020213134355147547,0.26029687435757304,-0.10612738447997491,0.993597147725627,0.1893910433692581,1.0,0.7633700779475705,0.17247442458661463,0.007057724235071333,0.261241897525062,0.34625643052617755,0.19795234234040388,0.2509423341542934
