feature_1,feature_2,correlation
description_length,description_word_count,0.993597147725627
additions,total_lines_changed,0.9929666757357511
review_count,review_commented_count,0.9758419676630953
deletions,total_lines_changed,0.9722446855489839
changed_files,total_lines_changed,0.9490476598634362
additions,changed_files,0.939322521860454
additions,deletions,0.9377063155452773
deletions,changed_files,0.9287341978244883
reviewer_count,review_requested_count,0.9220414336945265
additions,commits,0.9097003198721398
commits,total_lines_changed,0.9014719584534353
changed_files,commits,0.8878040819940339
non_working_minutes,effective_minutes,0.8710809940907388
review_comments,review_commented_count,0.8679981546775483
review_comments,review_count,0.8514101154183785
deletions,commits,0.8476611584072555
description_length,description_croatian_words,0.7832152334959334
description_word_count,description_croatian_words,0.7633700779475705
time_to_first_review_minutes,time_to_first_approval_minutes,0.7633338319696602
review_comments,time_to_first_approval_minutes,0.7058251732892846
time_to_first_approval_minutes,effective_minutes,0.7038680120394959
time_to_first_approval_minutes,non_working_minutes,0.6921996339487606
commits,time_to_first_approval_minutes,0.6806649252721773
review_count,effective_minutes,0.610261402878232
review_approved_count,review_requested_count,0.5959142312981366
reviewer_count,review_approved_count,0.5850053486629613
review_commented_count,time_to_first_approval_minutes,0.5819967971346246
review_count,time_to_first_approval_minutes,0.5808234287581021
review_count,review_requested_count,0.5749753830249941
review_comments,effective_minutes,0.5603328530467732
review_count,non_working_minutes,0.5584121049000472
review_commented_count,effective_minutes,0.5552916928782503
description_croatian_words,description_croatian_pct,0.5511408512200149
comments,effective_minutes,0.5407429492926569
review_comments,description_length,0.5322593299078622
review_comments,time_to_first_review_minutes,0.5300699726180641
review_comments,non_working_minutes,0.5175945279194073
review_comments,description_word_count,0.5112896557188235
comments,time_to_first_approval_minutes,0.5078115171121786
review_commented_count,non_working_minutes,0.5029286194269459
review_commented_count,description_length,0.49328581950731143
review_count,description_length,0.4921283715315723
review_count,review_approved_count,0.4910902944200897
comments,non_working_minutes,0.4887973168584856
time_to_first_review_minutes,effective_minutes,0.4780172530351619
review_commented_count,review_requested_count,0.47680924188778206
review_commented_count,description_word_count,0.4727748904393414
review_count,description_word_count,0.47145234099727973
time_to_first_review_minutes,non_working_minutes,0.46766402565143605
review_approved_count,effective_minutes,0.4670966594499734
review_comments,description_croatian_words,0.4646005521173689
additions,time_to_first_approval_minutes,0.4607725403533823
review_commented_count,time_to_first_review_minutes,0.46003575095722027
reviewer_count,review_count,0.45361789777666955
title_length,title_croatian_words,0.45291824987586127
commits,time_to_first_review_minutes,0.44697888330122837
review_count,time_to_first_review_minutes,0.440569220841097
comments,review_count,0.43866961135362154
commits,non_working_minutes,0.4311885499211252
review_approved_count,non_working_minutes,0.4310957920042234
review_comments,review_requested_count,0.43094069782276767
review_requested_count,non_working_minutes,0.42171830445159975
comments,review_commented_count,0.42037211885450576
review_requested_count,effective_minutes,0.4001770646147229
review_count,description_croatian_words,0.3973953793481605
total_lines_changed,time_to_first_approval_minutes,0.39549161029936064
description_croatian_words,time_to_first_approval_minutes,0.39440254461844104
review_commented_count,description_croatian_words,0.39340650716732395
commits,review_comments,0.3698155602862706
images_count,description_croatian_words,0.3596555920827271
description_length,time_to_first_approval_minutes,0.3555741739312238
comments,review_comments,0.3549834926241714
description_word_count,time_to_first_approval_minutes,0.34625643052617755
reviewer_count,review_commented_count,0.34568408104466963
reviewer_count,review_changes_requested_count,0.3407816316321929
commits,effective_minutes,0.33992791649491305
review_changes_requested_count,review_requested_count,0.3398525673397382
changed_files,time_to_first_approval_minutes,0.3350574703183157
review_requested_count,time_to_first_approval_minutes,0.3305406689318944
images_count,description_croatian_pct,0.3069924700435795
description_croatian_words,time_to_first_review_minutes,0.3057979136587073
reviewer_count,review_comments,0.3050564909254495
commits,review_commented_count,0.3048421528268456
commits,review_count,0.2977986513832454
review_approved_count,review_commented_count,0.29703581422463377
description_croatian_pct,title_croatian_words,0.28966322374928327
review_requested_count,description_length,0.28741141019760336
comments,time_to_first_review_minutes,0.2848519491414753
comments,review_requested_count,0.28278671943919204
reviewer_count,non_working_minutes,0.28211539131403773
comments,description_croatian_words,0.2785915322753912
description_croatian_words,effective_minutes,0.27566866814977875
review_count,review_changes_requested_count,0.26826787750309405
description_croatian_words,non_working_minutes,0.264557097209117
description_word_count,time_to_first_review_minutes,0.261241897525062
commits,description_length,0.261023364841276
review_requested_count,description_word_count,0.26029687435757304
description_length,time_to_first_review_minutes,0.2600551784941622
reviewer_count,description_length,0.25867518077766893
reviewer_count,effective_minutes,0.2586535425203298
review_comments,review_approved_count,0.25614103737153976
description_length,effective_minutes,0.2542718170066635
description_word_count,effective_minutes,0.2509423341542934
review_approved_count,review_changes_requested_count,0.24808294277241927
commits,description_word_count,0.2470253026027433
additions,non_working_minutes,0.24475306588301002
changed_files,non_working_minutes,0.24303637724886312
review_comments,review_changes_requested_count,0.23683461095468544
additions,time_to_first_review_minutes,0.23641944869041934
comments,description_length,0.2338958567169693
total_lines_changed,non_working_minutes,0.23335506021238503
review_changes_requested_count,non_working_minutes,0.2311673842293783
comments,review_approved_count,0.2305772424462763
comments,description_word_count,0.23035774226624753
reviewer_count,description_word_count,0.2279373381898986
reviewer_count,description_croatian_pct,0.21953433379352963
deletions,time_to_first_approval_minutes,0.2184599120123329
review_requested_count,description_croatian_words,0.21200227196981375
review_changes_requested_count,description_length,0.2079992157352865
description_length,non_working_minutes,0.20586634529147382
description_length,images_count,0.20218098619253436
deletions,non_working_minutes,0.20111047720061265
review_changes_requested_count,time_to_first_approval_minutes,0.19863697677328648
comments,review_changes_requested_count,0.19825462699248791
description_word_count,non_working_minutes,0.19795234234040388
review_changes_requested_count,description_word_count,0.1969169484859108
description_length,description_croatian_pct,0.19645567955267987
review_requested_count,description_croatian_pct,0.1954444648198848
total_lines_changed,time_to_first_review_minutes,0.1942663697371929
images_count,description_word_count,0.1893910433692581
commits,comments,0.18754035485967677
review_requested_count,time_to_first_review_minutes,0.18515910891260656
review_changes_requested_count,effective_minutes,0.18289611449070886
review_approved_count,description_croatian_pct,0.18274422721297748
review_commented_count,review_changes_requested_count,0.17750102958226513
changed_files,description_length,0.17737249182983925
description_croatian_pct,non_working_minutes,0.17557289191636397
commits,review_changes_requested_count,0.17508980805469906
reviewer_count,description_croatian_words,0.17496341226330328
changed_files,title_length,-0.1736333350080451
description_word_count,description_croatian_pct,0.17247442458661463
title_length,effective_minutes,-0.17163648898743125
title_length,time_to_first_approval_minutes,-0.17088602054225716
review_comments,description_croatian_pct,0.17024166306470606
review_approved_count,description_length,0.16770681921711433
reviewer_count,time_to_first_approval_minutes,0.16766410956367653
commits,title_length,-0.1649224142431493
changed_files,effective_minutes,0.1641763987261896
commits,description_croatian_words,0.1639979288752043
changed_files,description_word_count,0.16286400646805096
review_approved_count,description_croatian_words,0.16257104196393266
review_approved_count,description_word_count,0.1607762608627817
review_approved_count,time_to_first_approval_minutes,0.15999330337611706
title_length,non_working_minutes,-0.15837599164048627
reviewer_count,comments,0.1566906831651046
review_changes_requested_count,description_croatian_words,0.15324756304022416
review_count,description_croatian_pct,0.1480875562638187
review_count,title_length,-0.14696680761345077
changed_files,time_to_first_review_minutes,0.1461642020376209
additions,effective_minutes,0.14454066122428488
additions,title_length,-0.1444626780805861
title_length,description_croatian_pct,0.14442142533001215
description_croatian_pct,time_to_first_approval_minutes,0.14306030055364377
commits,review_requested_count,0.1404773601387431
description_croatian_words,title_croatian_words,0.1392186460970484
review_approved_count,title_length,-0.1386509397986124
total_lines_changed,title_length,-0.13808520499105686
changed_files,review_comments,0.13763313474924024
review_comments,images_count,0.13757861124787205
deletions,comments,0.13582577343352686
total_lines_changed,effective_minutes,0.1351012630456888
description_croatian_pct,effective_minutes,0.1298615010671965
changed_files,comments,0.1286451154845336
review_commented_count,title_length,-0.1249192321328687
comments,description_croatian_pct,0.12331021144809237
review_comments,title_length,-0.12103446604382577
review_dismissed_count,time_to_first_review_minutes,0.12053987257160197
deletions,title_length,-0.11973042235532728
review_commented_count,description_croatian_pct,0.11785310224489498
additions,description_length,0.11368907301397099
total_lines_changed,description_length,0.11202827538638505
reviewer_count,title_length,-0.11180630289304873
deletions,effective_minutes,0.11081990625115068
changed_files,description_croatian_pct,-0.10963392245045522
title_length,description_word_count,-0.10612738447997491
total_lines_changed,comments,0.10488980481142336
images_count,title_croatian_words,0.10453891300141162
title_length,description_length,-0.10415395987082358
deletions,description_length,0.1040798039625684
changed_files,review_commented_count,0.10212741877308093
additions,description_word_count,0.10163808579274886
review_requested_count,title_length,-0.10153910118175868
additions,review_comments,0.1012461529552324
total_lines_changed,description_word_count,0.10025622496829108
description_croatian_pct,time_to_first_review_minutes,0.09947121613133586
deletions,review_approved_count,-0.09570676519476992
deletions,time_to_first_review_minutes,0.094570995597368
deletions,description_word_count,0.09334933537756249
reviewer_count,title_croatian_words,-0.08950390204497569
review_changes_requested_count,title_length,-0.08823790611690593
additions,comments,0.0870243493148854
review_approved_count,images_count,-0.08691155828687022
reviewer_count,commits,0.08633547914469818
changed_files,review_count,0.08631246846344912
total_lines_changed,review_comments,0.08627364633291316
review_requested_count,title_croatian_words,-0.08600351251241226
review_changes_requested_count,title_croatian_words,-0.08477514928293953
