feature,importance
time_to_first_approval_minutes,0.22605464
commits,0.14126928
author_id,0.09289109
comments,0.07473959
review_count,0.059563324
deletions,0.035995364
reviewer_count,0.035579134
changed_files,0.031492967
total_lines_changed,0.030760538
review_approved_count,0.029872622
review_commented_count,0.029134754
description_length,0.026030507
is_frontend,0.019625446
description_word_count,0.019171558
time_to_first_review_minutes,0.017919937
is_bug_fix,0.016691858
title_length,0.015443009
images_count,0.0146715725
review_comments,0.014377884
review_requested_count,0.013266845
description_croatian_pct,0.011225308
additions,0.010299276
is_update,0.009417212
is_backend,0.007067786
description_croatian_words,0.006192993
is_refactor,0.004225225
title_croatian_words,0.0036533645
is_new_feature,0.0033670038
review_changes_requested_count,0.0
review_dismissed_count,0.0
