pr_number,pr_id,created_at,closed_at,merged_at,updated_at,ready_for_review_time,workflow_start_time,author_login,author_id,merged_by_login,reviewer_count,reviewers,additions,deletions,changed_files,commits,total_lines_changed,comments,review_comments,review_count,review_approved_count,review_commented_count,review_changes_requested_count,review_dismissed_count,first_review_time,first_approval_time,review_requested_count,title,title_length,repo_language,description,description_length,is_bug_fix,is_new_feature,is_update,is_refactor,is_backend,is_frontend,task_id,images_count,body,description_word_count,description_croatian_words,description_croatian_pct,title_croatian_words,time_to_first_review_minutes,time_to_first_approval_minutes,non_working_minutes,effective_minutes
500,2834092739,2025-09-16T19:11:27Z,2025-09-19T14:59:14Z,2025-09-19T14:59:14Z,2025-09-19T14:59:16Z,,2025-09-16T19:11:27+00:00,[user_3],3,[user_3],6,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7],122,34,7,4,156,1,4,2,1,1,0,0,2025-09-16T21:43:39+00:00,2025-09-18T21:28:06+00:00,7,956 FE: Obavijesti,18,TypeScript,"Dodana nova stranica /notifications kojoj se može pristupiti samo putem ""Prikaži više"" gumba u postojećem dropdownu notifikacija. Broj notifikacija u dropdownu je limitiran na 5, a na stranici se prikazuje 25 po 25 infinite scrollanjem na isti način kao što je originalno bilo u dropdownu. Dizajn prati [tabler](https://preview.tabler.io/activity.html)",352,False,False,True,False,False,True,acE7qbOk,2,"# Description

Dodana nova stranica /notifications kojoj se može pristupiti samo putem ""Prikaži više"" gumba u postojećem dropdownu notifikacija. Broj notifikacija u dropdownu je limitiran na 5, a na stranici se prikazuje 25 po 25 infinite scrollanjem na isti način kao što je originalno bilo u dropdownu. Dizajn prati [tabler](https://preview.tabler.io/activity.html)",54,44,81.48148148148148,0,152.19999999999996,3016.65,0.0,4067.783333333333
501,2834388820,2025-09-16T21:11:03Z,2025-09-17T13:43:33Z,2025-09-17T13:43:33Z,2025-09-17T13:43:35Z,,2025-09-16T21:11:03+00:00,[user_6],6,[user_6],1,[user_3],31,8,2,4,39,0,0,1,1,0,0,0,2025-09-17T11:23:54+00:00,2025-09-17T11:23:54+00:00,1,949 fe ubaciti crvene zvjezdice na obavezna polja,49,TypeScript,Na Users i Inventory page-u u formama obavezna polja nisu bila obilježena prilikom ispunjavanja. Dodane crvene zvjezdice na obavezna polja.,139,True,False,False,False,False,True,sPLfBnsE,0,"# Description

Na Users i Inventory page-u u formama obavezna polja nisu bila obilježena prilikom ispunjavanja. Dodane crvene zvjezdice na obavezna polja.",21,19,90.47619047619048,1,852.85,852.85,0.0,992.5
502,2834473692,2025-09-16T21:54:18Z,2025-09-16T21:54:25Z,2025-09-16T21:54:25Z,2025-09-16T21:54:27Z,2025-09-16T21:54:21Z,2025-09-16T21:54:18+00:00,[user],[user_id],[user],0,,1,1,1,1,2,0,0,0,0,0,0,0,,,0,chroe: nullable sent to production,34,TypeScript,,0,True,False,False,False,False,False,TASK_ID,0,,0,0,0.0,0,,,0.0,0.1166666666666639
503,2836501513,2025-09-17T12:48:01Z,2025-09-23T19:43:22Z,2025-09-23T19:43:22Z,2025-09-23T19:43:24Z,,2025-09-17T12:48:01+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],50,3,6,5,53,0,4,8,3,5,0,0,2025-09-18T13:11:04+00:00,2025-09-20T20:21:50+00:00,6,893 FE: User changes,20,TypeScript,Ubačene sve potrebne stvari za pregled povijesti izmjena korisnika u plug & play Changes komponentu. Dodana userFieldBooleanTypes konstanta za mapiranje true/false vrijednosti u Da/Ne. Povezan endpoint.,202,False,False,True,False,False,True,qJNt6ejM,0,"# Description

Ubačene sve potrebne stvari za pregled povijesti izmjena korisnika u plug & play Changes komponentu. Dodana userFieldBooleanTypes konstanta za mapiranje true/false vrijednosti u Da/Ne. Povezan endpoint.",27,25,92.5925925925926,0,1463.05,4773.816666666667,2880.0,6175.35
504,2836742631,2025-09-17T13:57:09Z,2025-09-29T12:03:08Z,2025-09-29T12:03:08Z,2025-09-29T12:03:10Z,,2025-09-17T13:57:09+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],74,7,2,14,81,2,9,11,3,7,1,0,2025-09-18T21:14:52+00:00,2025-09-18T21:14:52+00:00,10,937 FE: Prodajni kanal kao obvezno polje,40,TypeScript,Polje prodajnog kanala je sada obvezno prilikom kreiranja događaja. Kod uređivanja postojećih je opcijonalno kao i dosad.,121,False,False,True,False,False,True,hjVvm6C2,0,"# Description

Polje prodajnog kanala je sada obvezno prilikom kreiranja događaja. Kod uređivanja postojećih je opcijonalno kao i dosad.",17,15,88.23529411764706,0,1877.7166666666667,1877.7166666666667,5760.0,11405.983333333334
505,2837054974,2025-09-17T15:24:05Z,2025-09-25T11:59:32Z,2025-09-25T11:59:31Z,2025-09-25T11:59:33Z,2025-09-19T12:51:29Z,2025-09-17T15:24:05+00:00,[user_2],2,[user_2],6,[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],217,82,21,16,299,1,1,3,2,1,0,0,2025-09-18T13:21:45+00:00,2025-09-24T09:48:39+00:00,6,916 FS Odvajanje datuma i vremena,33,TypeScript,"Dodani startDate i startTime (obrisan startsAt), migracijska skripta, dodan opcionalan time input za start time u event formi. Bila je borba s migracijon da podaci ostanu tocni zbog vremenske zone.",197,False,False,True,False,True,True,jAWUSW5z,0,"# Description

Dodani startDate i startTime (obrisan startsAt), migracijska skripta, dodan opcionalan time input za start time u event formi.
Bila je borba s migracijon da podaci ostanu tocni zbog vremenske zone.",30,6,20.0,1,1317.6666666666667,9744.566666666666,2880.0,8435.433333333334
506,2837095781,2025-09-17T15:36:10Z,2025-09-24T09:08:57Z,2025-09-24T09:08:57Z,2025-09-24T09:08:59Z,,2025-09-17T15:36:10+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],79,30,7,2,109,0,6,9,3,6,0,0,2025-09-18T11:30:06+00:00,2025-09-18T11:30:06+00:00,7,940 FE: EmptyState komponenta,29,TypeScript,Prikaz empty state-a u pagevima je prebačen u novu EmptyState komponentu. Napisani testovi za istoimenu komponentu.,115,False,False,False,True,False,True,5H4j06TF,0,"# Description

Prikaz empty state-a u pagevima je prebačen u novu EmptyState komponentu. Napisani testovi za istoimenu komponentu.",17,16,94.11764705882352,0,1193.9333333333332,1193.9333333333332,2880.0,6812.783333333333
507,2838029469,2025-09-17T21:38:42Z,2025-10-27T09:37:16Z,2025-10-27T09:37:15Z,2025-10-27T09:37:18Z,2025-09-24T10:03:15Z,2025-09-17T21:38:42+00:00,[user_6],6,[user_2],6,[user_2]|[user_4]|[user]|[user_6]|[user_7]|[user_3],155,14,7,30,169,6,14,14,4,10,0,0,2025-09-18T22:26:01+00:00,2025-09-24T18:35:03+00:00,7,918 fs razlog odbijanja,23,TypeScript,"Kod uređivanja događaja dodano je novo polje Razlog odbijanja koje se pojavi ako je status promijenjen iz bilo kojeg drugog u Odbijeno. Polje se obavezno mora popuniti. Ako se ide ponovno na edit može se uredit razlog odbijanja. Ako se ponovno status mijenja iz Odbijeno u bilo koji drugi, vrijednost za polje Razlog odbijanja se briše, a vidi se u povijesti promjena.",368,False,False,True,False,True,True,4fNQKQgS,0,"# Description

Kod uređivanja događaja dodano je novo polje Razlog odbijanja koje se pojavi ako je status promijenjen iz bilo kojeg drugog u Odbijeno. Polje se obavezno mora popuniti. Ako se ide ponovno na edit može se uredit razlog odbijanja. Ako se ponovno status mijenja iz Odbijeno u bilo koji drugi, vrijednost za polje Razlog odbijanja se briše, a vidi se u povijesti promjena.",62,48,77.41935483870968,0,1487.3166666666668,9896.350000000002,18780.0,38098.54999999999
508,2840605253,2025-09-18T14:54:05Z,2025-09-24T09:08:27Z,2025-09-24T09:08:27Z,2025-09-24T09:08:28Z,,2025-09-18T14:54:05+00:00,[user_3],3,[user_3],7,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7]|[user_3],39,10,4,3,49,0,2,5,3,2,0,0,2025-09-18T17:03:52+00:00,2025-09-18T17:03:52+00:00,7,944 FE: Dodati checkbox filter na događajima,44,TypeScript,"Dodan checkbox u filtere događaja i filtriranje na temelju ""Poslano na obradu"" polja.",85,False,False,True,False,False,True,uJGXwypN,0,"# Description

Dodan checkbox u filtere događaja i filtriranje na temelju ""Poslano na obradu"" polja.",13,13,100.0,5,129.78333333333333,129.78333333333333,2880.0,5414.366666666667
509,2840812541,2025-09-18T15:49:30Z,2025-09-24T09:09:22Z,2025-09-24T09:09:22Z,2025-09-24T09:09:24Z,,2025-09-18T15:49:30+00:00,[user_3],3,[user_3],6,[user_2]|[user_4]|[user]|[user_5]|[user_6]|[user_7],24,23,2,3,47,0,1,4,3,1,0,0,2025-09-18T20:54:57+00:00,2025-09-18T20:54:57+00:00,7,952 FE: Centriranje headera kalendara,37,TypeScript,"Dodan display:grid na header kalendara, centriran središnji element. Prilagođen ostatak koda, mobilni prikaz ostavljen kakav je bio.",132,False,False,False,True,False,True,ZpMS6xgV,0,"# Description

Dodan display:grid na header kalendara, centriran središnji element. Prilagođen ostatak koda, mobilni prikaz ostavljen kakav je bio.",18,17,94.44444444444444,0,305.45,305.45,2880.0,5359.866666666667
