feature,importance
reviewer_team_size,0.14687835
reviewer_count,0.07794457
total_lines_changed_squared,0.063353844
total_lines_changed,0.057816643
time_to_first_approval_minutes_squared,0.057336733
commits,0.053659044
additions_log,0.050379816
review_count_squared,0.041401397
time_to_first_approval_minutes,0.040068936
has_reviewer_[user_3],0.038970936
commits_squared,0.036358207
review_count,0.035589732
time_to_first_review_minutes,0.031823177
additions,0.028072193
review_approved_count,0.027666021
deletions_log,0.024491964
created_hour,0.019172011
total_lines_changed_log,0.018506609
has_reviewer_[user_2],0.017270032
review_to_approval_time,0.01697376
position,0.014952971
reviews_per_reviewer,0.014559248
pr_type,0.014099763
author_is_reviewer,0.010530898
created_day_of_week,0.010374974
review_requested_count,0.009741978
commits_per_file,0.008544857
deletions,0.0060018287
changed_files,0.0047282963
description_word_count,0.0045940373
review_comments,0.0038739168
review_commented_count,0.0038093613
comments_log,0.003495349
comments,0.0024185935
commits_log,0.0020942404
reviewer_team_medium,0.0011902726
review_comments_log,0.0008611536
has_reviewer_[user_4],0.00039428982
reviewer_team_small,0.0
review_count_log,0.0
