feature,correlation,abs_correlation
review_to_approval_time,0.6858614948642194,0.6858614948642194
time_to_first_approval_minutes_squared,0.5895195594101151,0.5895195594101151
review_count_squared,0.5648223845480952,0.5648223845480952
comments_log,0.5515657045783239,0.5515657045783239
reviews_per_reviewer,0.5375882395054663,0.5375882395054663
commits_log,0.5366602159572893,0.5366602159572893
review_count_log,0.5141005208942899,0.5141005208942899
commits_squared,0.49386170460233725,0.49386170460233725
commits_per_file,0.4813512406609793,0.4813512406609793
review_comments_log,0.45608834707936813,0.45608834707936813
total_lines_changed_log,0.3110836546359855,0.3110836546359855
additions_log,0.31069845240190336,0.31069845240190336
created_hour,0.28380182977991525,0.28380182977991525
created_day_of_week,-0.19298258933364848,0.19298258933364848
deletions_log,0.17900269785661493,0.17900269785661493
total_lines_changed_squared,0.1647559358232218,0.1647559358232218
changed_files_squared,0.12587179464924633,0.12587179464924633
additions_deletions_ratio,0.09466198136330262,0.09466198136330262
lines_per_commit,0.022219878668849714,0.022219878668849714
created_is_weekend,-0.013884927377969572,0.013884927377969572
