pr_number,pr_id,created_at,closed_at,merged_at,updated_at,ready_for_review_time,workflow_start_time,author,merged_by_login,reviewer_count,additions,deletions,changed_files,commits,total_lines_changed,comments,review_comments,review_count,review_approved_count,review_commented_count,review_changes_requested_count,review_dismissed_count,first_review_time,first_approval_time,review_requested_count,title,description,task_id,images_count,body,description_word_count,time_to_first_review_minutes,time_to_first_approval_minutes,non_working_minutes,effective_minutes,pr_type,position,has_reviewer_[user_2],has_reviewer_[user_4],has_reviewer_[user],has_reviewer_[user_5],has_reviewer_[user_6],has_reviewer_[user_7],has_reviewer_nsitum,reviewer_team_size,reviewer_team_small,reviewer_team_medium,reviewer_team_large,author_is_reviewer
514,2850492404,2025-09-22T17:52:23Z,2025-10-13T23:54:18Z,2025-10-13T23:54:18Z,2025-10-13T23:54:20Z,2025-10-07T11:52:36Z,2025-09-22T17:52:23+00:00,[user_4],[user_4],4,312,10,19,54,322,5,53,27,2,25,0,0,2025-10-07T15:11:48+00:00,2025-10-13T08:02:25+00:00,10,958 fs idle status part 1,"- cron puni ""temp"" tablicu WaitingReminders - provjerava je svaka 3 sata - ako uhvati entitet sto 2 tjedna je u status ""čekanje"", kreira notifikaciju svim korisnicima -> userId je null u Notification - pošto je userId null onda sam stavio da je u takvoj notifikaciji je creator ""Sustav"" - ako smo za jedan resurs/entitet vec napravili reminder notif onda nece opet za isti - ako se 13ti dan, minut prije, promjeni status u nešto drugo - ne stvara notifikaciju - zasad imamo status samo na event objektu pa njih samo provjeravamo sada ZA TESTIRAT: - U reminder.service.ts na ln 22 prominit Cron okidanje na neko manje vrijeme npr. EVERY_10_SECONDS - Kreirat event sa statusom čekanje. Otvori prisma studio i trebao bi biti u WaitingReminder tablici novi redak za taj event. - prominit njegov waitingSince datum na 14 dana prije. - u iducem pozivu crona bi se trebala onda stvorit notifikacija u Notifications i prikaze se na frontenu.",,0,"# Description

- cron puni ""temp"" tablicu WaitingReminders
- provjerava je svaka 3 sata 
- ako uhvati entitet sto 2 tjedna je u status ""čekanje"", kreira notifikaciju svim korisnicima -> userId je null u Notification
- pošto je userId null onda sam stavio da je u takvoj notifikaciji je creator ""Sustav""
- ako smo za jedan resurs/entitet vec napravili reminder notif onda nece opet za isti
- ako se 13ti dan, minut prije, promjeni status u nešto drugo - ne stvara notifikaciju
- zasad imamo status samo na event objektu pa njih samo provjeravamo sada

ZA TESTIRAT:
- U reminder.service.ts na ln 22 prominit Cron okidanje na neko manje vrijeme npr. EVERY_10_SECONDS
- Kreirat event sa statusom čekanje. Otvori prisma studio i trebao bi biti u WaitingReminder tablici novi redak za taj event.
- prominit njegov waitingSince datum na 14 dana prije.
- u iducem pozivu crona bi se trebala onda stvorit notifikacija u Notifications i prikaze se na frontenu.",148,21439.416666666668,29650.033333333333,10080.0,20521.916666666664,update,fullstack,True,True,True,False,False,False,True,4,0,1,0,1
696,3088643871,2025-12-10T09:42:14Z,2025-12-20T13:11:04Z,2025-12-20T13:11:04Z,2025-12-20T13:11:06Z,2025-12-16T13:05:52Z,2025-12-10T09:42:14+00:00,nsitum,nsitum,3,232,31,10,12,263,2,9,7,1,6,0,0,2025-12-16T13:12:50+00:00,2025-12-20T08:02:02+00:00,3,14744146 FE: Dinamički stupci,"Dodan dropdown meni ""Stupci"" poviše tablice događaja kojom možemo toggleati određene stupce tablice. Bilo je dosta nezgodno napravit jer nam se botuni i dropdowni nalaze u Events layoutu, a sama tablica u EventsTable komponenti. Iskorišten postojeći usePreferences hook kako bi sačuvali korisnikove postavke vidljivih stupaca. Flow ide ovako: Kreiran je dropdown u Events layoutu sa visibleColumns stateom i cijelom logikom updateanja i čitanja (iz preferenci) applyjanih vidljivih stupaca. State i setter funkcije šaljemo preko OutletContexta kojeg prima EventsTable komponenta koja je child komponenta Events page-a, ovo preko OutletContexta je jedini način da spojimo layout i njegov Outlet. Nadalje, u EventsTable-u prolazimo kroz visibleColumns i na temelju toga prikazujemo/skrivamo header i ćelije. Na svaki header je dodan property 'hideable', tako da možemo odlučiti koji se stupci mogu sakriti u meniju a koji ne, zasad sam isključio (uz stupce odabira događaja i akcija) stupce 'Naziv' i 'Status', prebitni su da ih možemo isljučiti. Svakako onaj border lijevo za status prikazujemo na temelju stupca status, pa ako ga sakrijemo neće se vidjeti ni boja. Također je dodan mali UX touch, logika i checkbox za 'Odaberi sve' tako da kad korisnik makne sve stupce da ih samo jednim klikom može vratiti natrag. Neću lagat namučia me dosta feature sa prebacivanjem podataka, sitnih bugova sa filterima, setanjem statea, renderanjem, ima nekoliko useEffekata s kojima nisam zadovoljan al nisam pegla u detalje da ne pržimo vrime. Javite šta mislite o dizajnu ovih gumbova 'Preuzmi' i 'Stupci', nekako mi se ne uklapaju s ostalim gumbovima.",,1,"# Description

Dodan dropdown meni ""Stupci"" poviše tablice događaja kojom možemo toggleati određene stupce tablice. Bilo je dosta nezgodno napravit jer nam se botuni i dropdowni nalaze u Events layoutu, a sama tablica u EventsTable komponenti. Iskorišten postojeći usePreferences hook kako bi sačuvali korisnikove postavke vidljivih stupaca.

Flow ide ovako: Kreiran je dropdown u Events layoutu sa visibleColumns stateom i cijelom logikom updateanja i čitanja (iz preferenci) applyjanih vidljivih stupaca. State i setter funkcije šaljemo preko OutletContexta kojeg prima EventsTable komponenta koja je child komponenta Events page-a, ovo preko OutletContexta je jedini način da spojimo layout i njegov Outlet. Nadalje, u EventsTable-u prolazimo kroz visibleColumns i na temelju toga prikazujemo/skrivamo header i ćelije.

Na svaki header je dodan property 'hideable', tako da možemo odlučiti koji se stupci mogu sakriti u meniju a koji ne, zasad sam isključio (uz stupce odabira događaja i akcija) stupce 'Naziv' i 'Status', prebitni su da ih možemo isljučiti. Svakako onaj border lijevo za status prikazujemo na temelju stupca status, pa ako ga sakrijemo neće se vidjeti ni boja.

Također je dodan mali UX touch, logika i checkbox za 'Odaberi sve' tako da kad korisnik makne sve stupce da ih samo jednim klikom može vratiti natrag.

Neću lagat namučia me dosta feature sa prebacivanjem podataka, sitnih bugova sa filterima, setanjem statea, renderanjem, ima nekoliko useEffekata s kojima nisam zadovoljan al nisam pegla u detalje da ne pržimo vrime.

Javite šta mislite o dizajnu ovih gumbova 'Preuzmi' i 'Stupci', nekako mi se ne uklapaju s ostalim gumbovima.",251,8850.599999999999,14299.8,3688.833333333333,10920.0,feature,frontend,True,False,True,False,False,False,True,3,0,1,0,1
687,3077390488,2025-12-06T11:18:29Z,2025-12-12T07:00:10Z,2025-12-12T07:00:10Z,2025-12-12T07:00:12Z,2025-12-06T11:55:01Z,2025-12-06T11:18:29+00:00,[user_2],[user_2],3,950,508,18,15,1458,4,4,3,1,2,0,0,2025-12-08T20:31:31+00:00,2025-12-11T22:23:57+00:00,3,15082667 FS: Povijest relacijskih promjena,dodani zapisi promjena prilikom azuriranja relacija entiteta (npr. brisanje/dodavanje kontakata na dogadaju ili brisanje/dodavanja dogadaja na ponudi) refaktoriran i poopcen change servis,,2,"# Description

dodani zapisi promjena prilikom azuriranja relacija entiteta (npr. brisanje/dodavanje kontakata na dogadaju ili brisanje/dodavanja dogadaja na ponudi)
refaktoriran i poopcen change servis",24,3433.0333333333333,7865.466666666666,2160.0,6221.683333333334,feature,fullstack,True,False,True,False,False,False,True,3,0,1,0,1
672,3070378402,2025-12-04T08:54:48Z,2025-12-05T10:40:36Z,2025-12-05T10:40:36Z,2025-12-05T10:40:38Z,,2025-12-04T08:54:48+00:00,[user_2],[user_2],2,11,2,4,1,13,0,0,1,1,0,0,0,2025-12-04T17:05:50+00:00,2025-12-04T17:05:50+00:00,2,"14831389 BE: Polje ""Napomena""",dodano polje note u offer model azuriran tip i validator vidia san da u offer validatoru fale typeErrori na 2 mista pa san i to usput doda,,0,"# Description

dodano polje note u offer model
azuriran tip i validator
vidia san da u offer validatoru fale typeErrori na 2 mista pa san i to usput doda",27,491.03333333333336,491.03333333333336,0.0,1545.8,feature,backend,False,False,True,False,False,False,True,2,1,0,0,0
585,2963232473,2025-10-30T13:34:51Z,2025-10-31T14:53:07Z,2025-10-31T14:53:07Z,2025-10-31T14:53:09Z,2025-10-30T13:39:44Z,2025-10-30T13:34:51+00:00,[user_2],[user_2],6,119,95,12,9,214,0,5,3,1,2,0,0,2025-10-30T13:50:15+00:00,2025-10-31T14:50:01+00:00,5,14535220 FS: Post events cleanup,dosad se i client sla na post /events pa se tamo hendlala logika sta nije dobro jer event module ne zanima sta je s clientom njega samo zanima clientId - odvojena logika kreiranja eventa i klijenta - dodan upsert endpoint na user controlleru - na submitu event forme prvo radimo upsert klijenta pa onda post eventa - updateani tipovi i validator,,0,"# Description

dosad se i client sla na post /events pa se tamo hendlala logika sta nije dobro jer event module ne zanima sta je s clientom njega samo zanima clientId

- odvojena logika kreiranja eventa i klijenta
- dodan upsert endpoint na user controlleru
- na submitu event forme prvo radimo upsert klijenta pa onda post eventa
- updateani tipovi i validator",57,15.399999999999997,1515.1666666666663,0.0,1518.2666666666669,refactor,backend,True,True,True,False,True,True,True,6,0,0,1,1
694,3085990797,2025-12-09T15:02:25Z,2025-12-10T11:08:36Z,2025-12-10T11:08:36Z,2025-12-10T11:08:38Z,,2025-12-09T15:02:25+00:00,nsitum,nsitum,3,55,5,4,4,60,0,3,2,1,1,0,0,2025-12-10T09:32:28+00:00,2025-12-10T09:32:28+00:00,2,"14831599 FE: Dodati autoinkrementi ""number"" stupac","Preko novog next-number endpointa kreiran prefill naziva ponude prilikom kreiranja nove ponude. Formatiran naziv prema broju kao što je navedeno u tasku. Prilikom testiranja sam naletia na bug ako nemamo niti jednu ponudu, BE pukne pa bi mogli mozda samo defaultno vratit 1 ako ne postoji ni jedan offer @[user_2]?",,0,"# Description

Preko novog next-number endpointa kreiran prefill naziva ponude prilikom kreiranja nove ponude.
Formatiran naziv prema broju kao što je navedeno u tasku.

Prilikom testiranja sam naletia na bug ako nemamo niti jednu ponudu, BE pukne pa bi mogli mozda samo defaultno vratit 1 ako ne postoji ni jedan offer @[user_2]?",51,1110.05,1110.05,0.0,1206.1833333333334,feature,frontend,True,False,True,False,False,False,True,3,0,1,0,1
673,3070401400,2025-12-04T09:01:52Z,2025-12-04T09:08:07Z,2025-12-04T09:08:06Z,2025-12-04T09:08:08Z,,2025-12-04T09:01:52+00:00,[user_2],[user_2],0,2,2,1,1,4,0,0,0,0,0,0,0,,,0,Quickfix: Mapping bug on BE,brzi fix format metode na event servisu,TASK_ID,0,"# Description

brzi fix format metode na event servisu",7,,,0.0,6.233333333333328,fix,backend,False,False,False,False,False,False,False,0,1,0,0,0
643,3029799097,2025-11-20T12:58:05Z,2025-11-21T11:30:06Z,2025-11-21T11:30:06Z,2025-11-21T11:30:07Z,2025-11-20T13:01:41Z,2025-11-20T12:58:05+00:00,nsitum,nsitum,2,81,12,7,2,93,0,0,1,1,0,0,0,2025-11-21T11:04:12+00:00,2025-11-21T11:04:12+00:00,2,14830098 FE: Dodati lijevi obrub na tablicu događaja u boji badgea statusa,"Pošto imamo reusable Table i TableRow komponente, nije mi imalo smisla samo ""zviznuti"" status preko propsa u TableRow i to je to. Umjesto toga sam pročitao vrijesnost statusa preko stupca ""Status"" i Badge komponente. TypeScript se naravno bunio pa sam napravio type safe provjere čisto da ne dodajemo eslint error komentare. Edit: slučajno mi je osta diff od PR-a za dash, pa samo zanemarite te fajlove da ne radim novi PR",,1,"# Description

Pošto imamo reusable Table i TableRow komponente, nije mi imalo smisla samo ""zviznuti"" status preko propsa u TableRow i to je to. Umjesto toga sam pročitao vrijesnost statusa preko stupca ""Status"" i Badge komponente. TypeScript se naravno bunio pa sam napravio type safe provjere čisto da ne dodajemo eslint error komentare.

Edit: slučajno mi je osta diff od PR-a za dash, pa samo zanemarite te fajlove da ne radim novi PR",72,1326.1166666666668,1326.1166666666668,0.0,1352.0166666666669,update,frontend,True,False,True,False,False,False,False,2,1,0,0,0
610,2995456407,2025-11-10T14:08:27Z,2025-11-12T08:36:14Z,2025-11-12T08:36:14Z,2025-11-12T08:36:16Z,2025-11-10T14:13:30Z,2025-11-10T14:08:27+00:00,[user_2],[user_2],2,14,4,6,1,18,0,0,1,1,0,0,0,2025-11-11T16:19:34+00:00,2025-11-11T16:19:34+00:00,2,14701850 BE: Configuration module,maknut Global() u Configuration moduleu i importan u ostalim moduleima koji ga koriste,,0,"# Description

maknut Global() u Configuration moduleu i importan u ostalim moduleima koji ga koriste",13,1571.1166666666666,1571.1166666666666,0.0,2547.783333333333,fix,backend,False,False,True,False,False,False,True,2,1,0,0,0
587,2966813205,2025-10-31T13:35:35Z,2025-10-31T16:03:24Z,2025-10-31T16:03:23Z,2025-10-31T16:03:25Z,2025-10-31T13:40:42Z,2025-10-31T13:35:35+00:00,[user_2],[user_2],6,117,7,11,20,124,0,7,6,1,5,0,0,2025-10-31T15:23:10+00:00,2025-10-31T16:00:52+00:00,5,14365277 BE: Create update kontakata,dodan patch endpoint na /users/:userId/contacts koji zove upsert svih prilozenih kontakata(klijenata) te ih povezuje sa klijentom u contact tablici kroz contact service renamean postojeci Contact tip u InternalPerson i kreiran novi Contact tip,,0,"# Description

dodan patch endpoint na /users/:userId/contacts koji zove upsert svih prilozenih kontakata(klijenata) te ih povezuje sa klijentom u contact tablici kroz contact service
renamean postojeci Contact tip u InternalPerson i kreiran novi Contact tip",36,107.58333333333334,145.28333333333333,0.0,147.80000000000004,feature,backend,True,True,True,False,True,True,True,6,0,0,1,1
600,2980385313,2025-11-05T12:54:14Z,2025-11-07T07:00:51Z,2025-11-07T07:00:51Z,2025-11-07T07:00:54Z,2025-11-05T13:02:25Z,2025-11-05T12:54:14+00:00,[user_2],[user_2],2,52,0,14,3,52,0,1,1,1,0,0,0,2025-11-06T18:01:00+00:00,2025-11-06T18:01:00+00:00,2,14619353 FS: Client permisije,"dodane 2 klijentske permisije za pregled i upravljanje događajima nisan stavia da se prikazuju na formi zaposlenika sta se tice toga kako cemo skuzit moze li korisnik vidjeti taj event: ideja mi je prema JWTu u event service razaznati moze li klijent vidjeti taj dogadaj ili ne, tako mi se pari najjednostavnije i najbrze za ovo neko privremeno rjesenje",,0,"# Description

dodane 2 klijentske permisije za pregled i upravljanje događajima
nisan stavia da se prikazuju na formi zaposlenika
sta se tice toga kako cemo skuzit moze li korisnik vidjeti taj event: ideja mi je prema JWTu u event service razaznati moze li klijent vidjeti taj dogadaj ili ne, tako mi se pari najjednostavnije i najbrze za ovo neko privremeno rjesenje",59,1746.7666666666669,1746.7666666666669,0.0,2526.6166666666663,feature,fullstack,False,False,True,False,False,False,True,2,1,0,0,0
592,2972710645,2025-11-03T13:21:23Z,2025-11-05T09:02:59Z,2025-11-05T09:02:59Z,2025-11-05T09:03:01Z,2025-11-03T13:27:32Z,2025-11-03T13:21:23+00:00,[user_2],[user_2],2,59,39,9,5,98,0,3,3,1,2,0,0,2025-11-04T10:15:43+00:00,2025-11-05T09:00:48+00:00,4,14570466 BE: MVP Client login,priprema za login klijenta: - dodano polje passwordExpiresAt (klijenti ce prilikom logina dobiti nekakav kod na mail koji ce vrijediti odredjeno vrijeme) - azuriran session service na nacin da ako je korisnik tipa klijenta provjeravamo da li se podudaraju OIBi i lozinke ako lozinka i dalje vrijedi - azuriran login tip,,0,"# Description

priprema za login klijenta:
- dodano polje passwordExpiresAt (klijenti ce prilikom logina dobiti nekakav kod na mail koji ce vrijediti odredjeno vrijeme)
- azuriran session service na nacin da ako je korisnik tipa klijenta provjeravamo da li se podudaraju OIBi i lozinke ako lozinka i dalje vrijedi
- azuriran login tip",48,1254.3333333333333,2619.4166666666665,0.0,2621.6,feature,backend,False,False,True,False,False,False,True,2,1,0,0,0
537,2893612221,2025-10-07T11:16:05Z,2025-10-07T16:38:00Z,2025-10-07T16:38:00Z,2025-10-07T16:38:02Z,,2025-10-07T11:16:05+00:00,nsitum,nsitum,6,5,19,2,1,24,1,0,1,1,0,0,0,2025-10-07T16:36:56+00:00,2025-10-07T16:36:56+00:00,6,14115456 FE: Status tooltip misalignment,"Popravljen misalignment tooltipa na status polju događaja. Napravljene su sljedeće izmjene: - Centriran tootlip na input polje dodavanjem position-relative na polje tako da je uvijek konzistentno - Prilagođene vrijednosti za width, left i bottom - Prilagođen mobilni prikaz - Počišćen kod",,2,"# Description

Popravljen misalignment tooltipa na status polju događaja. Napravljene su sljedeće izmjene:
- Centriran tootlip na input polje dodavanjem position-relative na polje tako da je uvijek konzistentno
- Prilagođene vrijednosti za width, left i bottom
- Prilagođen mobilni prikaz
- Počišćen kod",38,320.85,320.85,0.0,321.9166666666667,fix,frontend,True,True,True,True,True,True,False,6,0,0,1,0
601,2980677255,2025-11-05T14:04:58Z,2025-11-07T10:26:02Z,2025-11-07T10:26:01Z,2025-11-07T10:26:04Z,2025-11-06T14:16:28Z,2025-11-05T14:04:58+00:00,[user_2],[user_2],2,80,7,6,7,87,0,0,1,1,0,0,0,2025-11-06T18:15:39+00:00,2025-11-06T18:15:39+00:00,2,14619356 BE: Dohvacanje klijentovih dogadaja,omoguceno dohvacanje klijentovih dogadaja po oibu u JWTu,,0,"# Description

omoguceno dohvacanje klijentovih dogadaja po oibu u JWTu",8,1690.6833333333334,1690.6833333333334,0.0,2661.05,feature,backend,False,False,True,False,False,False,True,2,1,0,0,0
641,3029473932,2025-11-20T11:24:02Z,2025-11-20T11:30:14Z,2025-11-20T11:30:14Z,2025-11-20T11:30:16Z,,2025-11-20T11:24:02+00:00,nsitum,nsitum,1,2,2,1,1,4,0,0,0,0,0,0,0,,,1,14829857 FE: Prazno ime i prezime kod klijent tablice,Dodana crtica prilikom praznog polja imena i prezimena u tablici klijenata,,0,"# Description

Dodana crtica prilikom praznog polja imena i prezimena u tablici klijenata",11,,,0.0,6.199999999999998,fix,frontend,False,False,True,False,False,False,False,1,1,0,0,0
649,3036393567,2025-11-22T13:01:01Z,2025-11-24T09:39:27Z,2025-11-24T09:39:27Z,2025-11-24T09:39:30Z,2025-11-22T13:07:31Z,2025-11-22T13:01:01+00:00,nsitum,nsitum,2,35,0,2,4,35,0,0,1,1,0,0,0,2025-11-24T07:48:16+00:00,2025-11-24T07:48:16+00:00,2,14741016 FE: Ažuriranje event forme,"Ažurirana forma događaja, dodano polje ""Odgovorna osoba"". Prilagođen kod, dohvat odgovornih osoba, (naletio sam na bug na BE pa trenutno ne radi editiranje na inicijalnu vrijednost).",,0,"# Description

Ažurirana forma događaja, dodano polje ""Odgovorna osoba"". Prilagođen kod, dohvat odgovornih osoba, (naletio sam na bug na BE pa trenutno ne radi editiranje na inicijalnu vrijednost).",26,2567.25,2567.25,2040.0,638.4333333333335,feature,frontend,True,False,True,False,False,False,False,2,1,0,0,0
