Colony.label,Crop,Province,Location,Site.type,Time.point,Date,Total.bees.in.sample (based on weight),Total.mites (counts by alcohol wash),Percent.mites,Mean.temp.3wks,Total.precip.3wks,Day.Average.Wind.Spd.kmph,Night.Average.Wind.Spd.kmph
COR01u1,Corn,Ontario,Ontario,u,t1,43945,334.725537,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR01u2,Corn,Ontario,Ontario,u,t1,43945,375.4299754,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR01u3,Corn,Ontario,Ontario,u,t1,43945,316.4118247,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR01u4,Corn,Ontario,Ontario,u,t1,43945,484.6153846,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR02u1,Corn,Ontario,Ontario,u,t1,43945,351.867995,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR02u2,Corn,Ontario,Ontario,u,t1,43945,391.456077,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR02u3,Corn,Ontario,Ontario,u,t1,43945,364.9162011,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR02u4,Corn,Ontario,Ontario,u,t1,43945,339.516129,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR03u1,Corn,Ontario,Ontario,u,t1,43945,406.1160151,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR03u2,Corn,Ontario,Ontario,u,t1,43945,347.202381,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR03u3,Corn,Ontario,Ontario,u,t1,43945,360.5263158,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR03u4,Corn,Ontario,Ontario,u,t1,43945,363.1355932,0,0,2.940909091,0.931818182,13.90136054,20.14627101
COR01u1,Corn,Ontario,Ontario,u,t2,43964,195.1371571,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR01u2,Corn,Ontario,Ontario,u,t2,43964,165.1061174,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR01u3,Corn,Ontario,Ontario,u,t2,43964,141.9932811,1,0.704258675,6.553636364,1.038636364,12.07759354,14.72958591
COR01u4,Corn,Ontario,Ontario,u,t2,43964,152.4915062,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR02u1,Corn,Ontario,Ontario,u,t2,43964,241.4785553,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR02u2,Corn,Ontario,Ontario,u,t2,43964,193.6653772,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR02u3,Corn,Ontario,Ontario,u,t2,43964,198.6111111,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR02u4,Corn,Ontario,Ontario,u,t2,43964,187.4190065,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR03u1,Corn,Ontario,Ontario,u,t2,43964,151.7517518,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR03u2,Corn,Ontario,Ontario,u,t2,43964,244.6936543,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR03u3,Corn,Ontario,Ontario,u,t2,43964,200.1577287,0,0,6.553636364,1.038636364,12.07759354,14.72958591
COR03u4,Corn,Ontario,Ontario,u,t2,43964,187.1957672,0,0,6.553636364,1.038636364,12.07759354,14.72958591
